"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
1483475.53122514,1520340.19252817,1503158.54221732,589272.080290187,753502.562342161,1629282.75783958,1559200.99904719,2077285.78321713,1292000.04562387,1292722.48214314,535830.547002806,301716.11403144,539427.963380884,320203.878403618,99288.8303298926,77994.55462074,289983.200290897,236426.529915394,167137.96462236,249035.97194881,354541.284346877,408048.988321262,1486808.54514918,2751268.43880465,1074079.90843935,522472.824352333,122742.402989954,171923.300805188,97017.6903443659,895447.458313698,1019778.83192749,1000730.49875133,42363.646603354,103025.940445985,228768.637857196
1545842.10770886,1286664.21385954,1605986.44033403,996590.294804071,867954.418776376,1527981.10577609,1743611.32565475,2004857.61307203,1231532.60239497,766182.250765565,614451.626522998,257441.161288686,519344.867876198,275557.44816864,79775.2949041873,62804.841461284,357855.358742992,297153.179046121,152306.917468103,218796.25809806,311780.593352637,307202.867765226,1462200.47440179,2680720.25461157,1087860.44895746,477755.866266851,208320.335004611,516533.49426826,348200.883470504,1052364.30772696,1301696.13809927,1574177.48013642,43710.0802135168,89111.4304294481,226077.539109377
1448720.38498253,1586271.62383545,1466363.83180135,873933.444030861,779103.995547193,1383241.10091247,1405225.16266348,2021983.98340925,1488968.18118844,860459.011137331,701792.588837255,327680.396339224,492281.342080719,266546.41623758,92924.7922938018,87619.3720999723,251877.305153617,208801.61815748,201800.823058969,231003.868361605,339784.517497568,320297.958911201,1475602.094084,2322122.32031732,968388.321092273,443086.946332675,129270.992783624,150496.38610748,100339.797955106,825623.129133741,877003.091393256,1225090.98868627,54589.2555128329,109936.940184895,206257.918827369
1412974.89631544,1331791.29799468,2424800.56590113,887441.994389869,816826.465712826,1460010.84583098,1456609.1623416,2166315.07188161,1400013.95856801,1018990.78679874,535475.848762293,261961.083011776,473312.785364233,376005.096233854,80805.428707783,86384.9892279012,377532.58531928,310663.129776635,184840.380323544,272219.376619469,300206.878529749,342499.187190311,1642758.36316386,3007189.45090281,1029901.11520401,546677.620367507,137294.251831379,260092.992418707,115576.814494986,961426.029456908,1098194.63424623,1605716.84769447,44126.5589188616,102318.715586728,218962.639250047
1482125.93204795,1424492.66365977,1965899.38019375,937643.73343406,836797.872363027,1525729.81072036,1320340.41275587,1671756.90440892,1023560.38275392,901848.11629749,371188.632606023,238413.083156053,422686.933146979,264651.107603327,76013.2725857525,70119.163858797,294644.453631771,205461.011380521,161440.30937064,286656.539220347,334466.584736553,314390.220727404,1551633.17080336,2910593.68411691,1006987.44995563,452213.588095401,154399.146120931,271088.793529178,109809.675843532,916053.993107542,989715.902027469,712942.443652679,48131.9009228861,101237.272172474,240827.558400534
1521796.35040732,1379405.29904731,2115016.42653019,842402.226622706,856825.987294526,1403018.89270902,1480065.92246006,1942648.62878928,1206652.86351405,1013751.1710076,457475.198348029,335440.074281089,571581.851680565,356315.562225513,96013.2363223595,68133.0106578381,338591.700111415,234283.178241376,157005.049666585,331238.509748684,371116.94096985,319869.346440924,1624817.78518649,3135015.7110971,1180732.14727608,534040.619066848,132962.105963708,304451.241831216,119570.518635674,1044384.20067567,891901.870944139,1557961.86299554,48670.2183742755,103519.809568743,245030.204666665
1648499.48548506,1351286.86043862,1290224.82406196,779950.95933108,731307.017229487,1337117.20967006,1610404.96682567,1911066.86413525,1048606.1726154,1224742.57474345,513228.107383054,324644.351342492,1000386.22888138,351178.491054515,87809.5836061563,75577.8747999196,293022.315556413,214382.777422812,196991.683417514,231173.307035023,343411.35067508,345987.367252852,1536656.05209249,2493176.77282773,1131545.29595125,621530.914077575,122286.333142483,236261.339621331,121082.037496016,731027.955609252,1034844.73494817,762718.240827491,34973.2835755331,79429.7735214296,214386.869117377
1370638.46980297,1365418.00381281,2388434.54666583,970667.748244713,782173.207523671,1237435.52515643,1316859.85744655,1767778.56095429,1108287.339044,899268.110061657,454786.620818839,295710.275084349,420631.810765714,296782.239139132,78776.4174107521,77437.0387712258,302593.815758537,269483.659410333,143293.200855944,193519.142836769,403402.038436732,329062.001205451,1759740.22987983,2731238.68849582,1341943.68728646,515872.813478114,206890.473375284,446538.842480546,163148.909464077,769625.296784601,1608428.76422141,1573661.62701417,43378.9577914908,98517.8491803048,251616.425337261
1223623.87838201,1252568.5547218,1515547.87901375,807112.782739562,683801.618672917,1192263.80573925,1354025.32035764,1910573.90425572,1203950.49143329,1663300.52211962,412635.74066226,343740.808624996,430510.703287585,264682.887602964,68866.5278712544,61372.4730310711,235129.292802204,241307.682960136,152944.040928929,224337.602208898,325624.413508279,322537.468139762,1519639.08533404,3014213.85927383,1097595.22351197,510613.160976283,181771.826301426,212475.003992866,251745.726829069,875541.480078307,1064539.65451019,745003.158904642,43209.8689107744,242609.615665691,218651.288489417
1574104.78953629,1341675.66374471,1723386.22430018,585110.104636232,744797.301201331,1494928.27147712,1522688.48316461,1986152.91997699,1330761.93580126,1042524.0954201,416683.151715165,362710.494665393,574683.880869197,334077.09757778,74700.5673588792,56297.4566311349,299020.817536537,245877.819833483,136251.941713401,252256.286045322,333503.871519794,272473.002742293,1642684.99147878,2699072.43328501,1184550.76699088,603554.18990068,159801.266491408,182690.234823079,116805.845922121,792096.263982506,1128742.38685896,757940.562185552,44522.6678854074,189762.826407119,248467.517007615
