"","GIS_STATION","Lat","Long"
"300","Q-18",60.326772125182,-168.679946593886
"301","Q-19",60.3240322377902,-169.327512113691
"302","Q-20",60.3305957511945,-170.023170422934
"303","Q-21",60.3312947430578,-170.660758070539
"304","Q-22",60.3329563641945,-171.355322236002
"305","Q-23",60.33664068793,-172.064378711695
"306","Q-25",60.3121520683931,-173.392695441567
"307","Q-26",60.3368765086983,-174.076047487702
"308","Q-27",60.3309184979269,-174.7093356879
"309","Q-28",60.3340979880909,-175.385493231685
"310","Q-29",60.3348352880534,-176.034308985244
"311","Q-30",60.33489745468,-176.719647550869
"312","Q-31",60.3318262831461,-177.380876746067
"313","R-22",60.6635760917942,-171.433897470097
"314","R-23",60.6627053309301,-172.108725887527
"315","R-24",60.6692986541298,-172.766007345133
"316","R-25",60.6716839577434,-173.468253493792
"317","R-26",60.6704204342681,-174.134119924269
"318","R-27",60.6649640388534,-174.812322862383
"319","R-28",60.666386672437,-175.451940825159
"320","R-29",60.6711893734283,-176.199898285834
"321","R-30",60.668686932398,-176.810021158588
"322","R-31",60.6662124176752,-177.50959280045
"323","R-32",60.6672382251407,-178.175957373358
"324","S-22",60.988918760846,-171.488161716377
"325","S-23",60.9961327581846,-172.16176447239
"326","S-24",60.9997018590969,-172.816727554052
"327","S-25",61.0037188769054,-173.499684905091
"328","S-26",60.9986189779736,-174.177480232851
"329","S-27",61.0033032848116,-174.882614040849
"330","S-28",60.9999894463957,-175.546734514133
"331","S-29",61.0009977075781,-176.283139233558
"332","S-30",61.0036816191182,-176.980129785106
"333","S-31",60.9968522302854,-177.627544039671
"334","T-25",61.3357471613585,-173.580912043082
"335","T-26",61.3340635591118,-174.317720557003
"336","T-27",61.3338089475703,-174.992548998721
"337","T-28",61.3285838743383,-175.660627851769
"338","T-29",61.3348112467169,-176.305101838557
"339","T-30",61.3324692399008,-176.975267866761
"340","U-25",61.6668761547227,-173.660250710306
"341","U-26",61.6649856157876,-174.434588629553
"342","U-27",61.6692808584535,-175.068231441678
"343","U-28",61.6677644845361,-175.786439107367
"344","U-29",61.663180287995,-176.45941403506
"345","V-25",61.9972881946972,-173.739113526124
"346","V-26",61.9990676517893,-174.50242822812
"347","V-27",61.9929597170353,-175.151942260845
"348","V-28",61.9941524613364,-175.843470223227
"349","Z-05",54.6894241414141,-165.148970707071
